GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PriceTracker-app,com.kanbur.Price,CreateRecipeMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,CreateRecipeMenu.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,CreateRecipeMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,CreateRecipeMenu.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,CreateRecipeMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,CreateRecipeMenu.new InputMethodListener() {...},6,6,0,0,3,1,2,1,2,1
PriceTracker-app,com.kanbur.Price,CreateRecipeMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,CreateRecipeMenu.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,CreateRecipeMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,DBFacaderRegister,30,97,1,7,6,30,1,7,0,4
PriceTracker-app,com.kanbur.Price,LERIngMenu,0,446,0,0,0,90,0,5,0,5
PriceTracker-app,com.kanbur.Price,CreateMealMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,DBFacadeAddIng,23,97,1,3,8,33,3,5,2,4
PriceTracker-app,com.kanbur.Price,IngredientMenu,0,336,0,0,0,68,0,2,0,2
PriceTracker-app,com.kanbur.Price,CreateMealMenu.new InputMethodListener() {...},6,6,0,0,3,1,2,1,2,1
PriceTracker-app,com.kanbur.Price,DBFacadeListMeal,3,74,0,2,2,18,0,3,0,2
PriceTracker-app,com.kanbur.Price,CreateMealMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,CreateMealMenu.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,CreateMealMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,CreateMealMenu.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,CreateMealMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,CreateMealMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,CreateMealMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,RemoveMealMenu,0,435,0,0,0,68,0,5,0,5
PriceTracker-app,com.kanbur.Price,ListRecipeMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,ListRecipeMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,DBConnection,15,35,1,5,4,14,1,6,0,4
PriceTracker-app,com.kanbur.Price,LoginMenu.new KeyAdapter() {...},5,6,0,0,2,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,RemoveRecipeMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,LoginMenu.new KeyAdapter() {...},5,6,0,0,2,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,LoginMenu.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,RecipeMenu.new MouseAdapter() {...},11,6,0,0,4,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,LoginMenu.new MouseAdapter() {...},5,6,0,0,2,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,ListRecipeMenu,0,427,0,0,0,68,0,4,0,4
PriceTracker-app,com.kanbur.Price,LoginMenu.new ActionListener() {...},1,6,0,0,1,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,LoginMenu.new MouseAdapter() {...},0,16,0,0,0,3,0,2,0,2
